Time(ms), Pos X, Pos Y, Pos Z
1425398534906341464, -0.42543723803134625, 0.4068992678199743, 0.32775982334582543
1425398534916397277, 0.5636974527412929, -0.019221927603659816, -0.3800971024999307
1425398534957827333, 0.5279602528134529, -0.04842377545505916, -0.41475310625316886
1425398534967905964, 0.5264039764557082, -0.049680002002878254, -0.4161219064537198
1425398534998108052, 0.5247728133416037, -0.043849882914386296, -0.4088537717181493
1425398535038399290, 0.4907905366982097, -0.035765453640825395, -0.44081024719389905
1425398535078759364, 0.48710330801030577, -0.028746913975040034, -0.4437107097808366
1425398535119615200, 0.46740256544192516, -0.029470931144590873, -0.46556703935139376
1425398535159918639, 0.4635939677145726, -0.031165541186750412, -0.4759232395696278
1425398535190151191, 0.4421343384326908, -0.039425448930143325, -0.5015901370769642
1425398535234582822, 0.4327028740299623, -0.03569938531485506, -0.5152054070173693
1425398535244743391, 0.43051261928951123, -0.034879981036566754, -0.5182836487758762
1425398535275317441, 0.4200958916867801, -0.06386627092270958, -0.5276229122934439
1425398535315541018, 0.4152501582904726, -0.0711013308799342, -0.5332172681127534
1425398535356447616, 0.41003625754894424, -0.07899827356945965, -0.5370435614201678
1425398535396776899, 0.40631074359502484, -0.07899943232505291, -0.5360865342943301
1425398535437238009, 0.4138544067765455, -0.07651776769481722, -0.5295474789823551
1425398535467446478, 0.4295314529316261, -0.06110915748524892, -0.5157727975566115
1425398535517793235, 0.4477093258878092, -0.04892965709784858, -0.49702731926598087
1425398535558055088, 0.47030413774306334, -0.04665025986412208, -0.4710379935198761
1425398535600350284, 0.4850291194173484, -0.05773967626263388, -0.44881804357544874
1425398535640650058, 0.49943284696509993, -0.04760907239262124, -0.42908061075756754
1425398535671481309, 0.5179170880493817, -0.03546994652625468, -0.40182483473313324
1425398535721854065, 0.5395494069511222, -0.018410002572947448, -0.36887643717880003
1425398535752038272, 0.5546013144705403, -0.003171431222503296, -0.3456558598960229
1425398535792396594, 0.5477202054647279, 0.0212218959285434, -0.3598430692274337
1425398535832664569, 0.5448094335017692, 0.03231431374945726, -0.3751364011134344
1425398535862829440, 0.5274745014182577, 0.03592420487051118, -0.40407878937478103
1425398535882979993, 0.5343264332506433, 0.02152486263722131, -0.4057606706815693
1425398535903122517, 0.5382344822255749, 0.020568577548234712, -0.40760081134169623
1425398535923333925, 0.5432471787120191, 0.006720279416271513, -0.40903347160579395
1425398535943459003, 0.5350631464842668, -0.014762343161438318, -0.4247917311204328
