Time(ms), Pos X, Pos Y, Pos Z
1425398534894209032, 0.769721562239498, -0.9038185790969899, -1.5269203352723142
1425398534914387582, 0.7590547973263035, -0.8753738386918223, -1.4704916772542662
1425398534955560278, 0.7664540628423171, -0.8432033084425499, -1.4354711218738667
1425398534996738230, 0.7802345561748475, -0.8062301293814488, -1.3987435744623222
1425398535036978678, 0.7988414692562317, -0.7601953487995294, -1.3589159087903449
1425398535087209564, 0.818250099693135, -0.7246265666356287, -1.3234335748533734
1425398535117499493, 0.8381408672021735, -0.6910773572264846, -1.2894853607447978
1425398535157862635, 0.8576721498878515, -0.6572074304240143, -1.2574818216709027
1425398535198588082, 0.8665766482835722, -0.6352065926950554, -1.225588181530525
1425398535208651717, 0.866630784373505, -0.6350741797191944, -1.2253980711830077
1425398535253853398, 0.8800099257972881, -0.6054701616724621, -1.198210244292346
1425398535284046724, 0.8850837509499019, -0.5850892820949889, -1.175511280205552
1425398535324444462, 0.8798720320783302, -0.5743139428174722, -1.153012046371775
1425398535354623500, 0.8789355930038281, -0.5560091109289371, -1.137731188636275
1425398535395102698, 0.867839490183207, -0.5483355168908366, -1.1258582585056636
1425398535435705403, 0.8529482496695007, -0.5437376308287916, -1.118601696568336
1425398535476012023, 0.8367092365425703, -0.5410178541496677, -1.1159887846861536
1425398535516324103, 0.8186841416106494, -0.5415897035194351, -1.116690450207494
1425398535557018824, 0.8038874577128255, -0.5431416921564352, -1.1215545031319158
1425398535597948460, 0.7932407724113502, -0.5480254344599198, -1.1283656384453238
1425398535638479907, 0.7917914996086929, -0.5462360292252237, -1.1339311971862207
1425398535678914097, 0.7911138513374775, -0.5468507385946959, -1.1407685934881073
1425398535711626502, 0.7903050930074835, -0.5455128615515588, -1.1413947874984647
1425398535752405666, 0.8025208573402961, -0.5256911538591238, -1.1379724613280469
1425398535792928642, 0.8089936936135084, -0.5127610548548603, -1.1273690254235451
1425398535833274019, 0.8134145880728628, -0.5025148123585572, -1.1124719867946857
1425398535883676756, 0.8190556505863764, -0.48971914467761324, -1.0913638546234963
1425398535924659162, 0.8239568701216626, -0.4788104101837325, -1.067807528378368
