Time(ms), Pos X, Pos Y, Pos Z
1425398458542932767, -0.16373297871163373, -0.002902416748963743, -0.010150947944644662
1425398458553000745, -0.1637725819341962, -0.0028858188373843685, -0.010516411594383435
1425398458563073659, -0.16374774190677122, -0.0029439335396137523, -0.01269919703236777
1425398458583223370, -0.16378490573193494, -0.002902718838888596, -0.009496655904585927
1425398458603351650, -0.16376433592325745, -0.0028424536444822124, -0.010281163378159652
1425398458623477223, -0.1637494326011002, -0.002925160603525656, -0.012665953639264593
1425398458643608416, -0.16373858705305477, -0.002926931544443123, -0.01230436084999842
1425398458653666329, -0.1637525492193388, -0.002907085213569749, -0.010455658035820381
1425398458684028092, -0.16377286443002603, -0.002940375918849103, -0.009485108897140604
1425398458694131984, -0.1637608995758404, -0.0029508488261902333, -0.010476872105889878
1425398458714528721, -0.1637724841076844, -0.0028518074803971505, -0.012524637012237827
1425398458734675893, -0.1637409963601919, -0.0028568103456609872, -0.012071887364652367
1425398458764858503, -0.16376958959351517, -0.0029081160645652027, -0.010353043950397822
1425398458785256898, -0.16374133647858025, -0.0029355770090497835, -0.009484584763884474
1425398458797267878, -0.16374146889600394, -0.0028643659056517556, -0.010774904593614298
1425398458837531006, -0.16377993816620284, -0.0029410408683925304, -0.013722342366992546
1425398458857607667, -0.16375186830813226, -0.0028892069705561685, -0.011050344902806986
1425398458887798844, -0.16378093225253232, -0.0029089561581763235, -0.009344843880576326
1425398458897860891, -0.16374592806002175, -0.0028037672844329897, -0.012632796678146319
1425398458917989374, -0.1637120914958652, -0.00298377943818795, -0.013330688992882367
1425398458938116100, -0.16374917919947918, -0.0029446068800473846, -0.011617093371492082
1425398458978445305, -0.1637431549213446, -0.002972438003361333, -0.009375396000210756
1425398458998515618, -0.16378402292255623, -0.00298639227364772, -0.013500418484875931
1425398459018642652, -0.16375430140534686, -0.0029386703489675536, -0.013698700412547726
1425398459038815980, -0.1637745001848574, -0.002888674846540429, -0.01153907000564458
1425398459058939263, -0.1637524274924016, -0.002909647382537406, -0.010842481665616965
1425398459089138324, -0.16378862333218924, -0.002974432011554784, -0.013572435474865863
1425398459131284497, -0.1637634686188001, -0.002933084377732653, -0.01286900830211879
1425398459161511545, -0.16376371114444788, -0.0029760697318135243, -0.010653230364664257
1425398459181650414, -0.16376526377905987, -0.0029328576725351496, -0.009586438149522314
1425398459201781098, -0.1637586092735981, -0.0029855938878649013, -0.010021081720140934
1425398459231962242, -0.16373976506557852, -0.0028988067766180237, -0.012984494401498958
1425398459242025833, -0.16375130373377234, -0.0028422382576318572, -0.012667528801380001
1425398459262149549, -0.16374231346068546, -0.002914874305602, -0.01054431480380047
1425398459282399140, -0.16378416243601435, -0.002944897875885477, -0.00961151340768085
1425398459302543864, -0.16375674352292324, -0.0029409871930605735, -0.010065093905538891
1425398459322705600, -0.16376919837185566, -0.0029793897475021147, -0.01276196709009092
1425398459342853200, -0.16373598329232353, -0.0029425821620463477, -0.012440260615704357
1425398459363017275, -0.1637567398918014, -0.002906612928496921, -0.01047599202227345
1425398459373411277, -0.16374185223137405, -0.002908753503520156, -0.00951628916387448
1425398459413763864, -0.1637374819013202, -0.0029206947298503483, -0.01257285103867467
1425398459443971106, -0.1637521530563517, -0.002878159702502936, -0.012245319951781797
1425398459454040013, -0.16377214090317582, -0.0029873211509856556, -0.010409903383555408
1425398459474170269, -0.1637584450726941, -0.0029307687766833013, -0.009518798844383225
1425398459494301718, -0.16375748972459858, -0.002922274083354104, -0.010497606288540462
1425398459514587095, -0.16374661157550574, -0.0028955793188547574, -0.012491696090311644
1425398459534714402, -0.1637768379975899, -0.002983489040312204, -0.012081830215618705
1425398459554919426, -0.16375800024572795, -0.002947595653995272, -0.010336808315208224
1425398459575087018, -0.16374109335432063, -0.0029122668573386967, -0.009453803545282469
1425398459605276183, -0.16375189392045653, -0.002963440400023609, -0.010782901768889852
1425398459615337600, -0.1637663373730327, -0.0029810755993442406, -0.012335162412705936
1425398459635473719, -0.16373298968610484, -0.0029045063896477874, -0.01196730273563662
