Time(ms), Pos X, Pos Y, Pos Z
1425398458502379959, 2.009494617889146, -0.29136007816243903, -0.24731932423605263
1425398458512437832, 2.0096874413259256, -0.29241516764617725, -0.24961516459910327
1425398458522566577, 2.0097680524622374, -0.2926818282614796, -0.24665114053203196
1425398458532640828, 2.009753406114327, -0.291382021673948, -0.24969756753793437
1425398458542706143, 2.010062650792855, -0.29240790690267837, -0.2470264374738691
1425398458562832612, 2.0096623588486686, -0.2932141173061611, -0.24923410685079828
1425398458583186947, 2.00981515434841, -0.2912302317727222, -0.2466546902328559
1425398458603319377, 2.009926342552186, -0.2912391544759363, -0.2472670533721103
1425398458633522874, 2.009516530613782, -0.2924505531758279, -0.24929384346531014
1425398458653644555, 2.0098185578811756, -0.2922826604102804, -0.24922736923008582
1425398458673871418, 2.009759432820271, -0.2922939615237752, -0.24702925459398462
1425398458683933440, 2.0099054921886483, -0.2924244500908435, -0.24628209766180564
1425398458714187574, 2.009906907632155, -0.2915579170933911, -0.24933271102050458
1425398458734377313, 2.009951949427443, -0.2912165713553567, -0.2488448203040481
1425398458754515106, 2.009698650990837, -0.29209932151903306, -0.24701992266880435
1425398458774784752, 2.0096418332436867, -0.2921874197995522, -0.24603411072750958
1425398458805031702, 2.009862847265225, -0.2910167408721025, -0.24730445170967663
1425398458815690360, 2.0100900726128708, -0.29116712531576483, -0.24922762248361718
1425398458846051138, 2.0098091932259745, -0.29159858655469617, -0.2454358847238759
1425398458886348217, 2.009820378044782, -0.2915071218502243, -0.2504335060634666
1425398458896424879, 2.009849140875925, -0.2910763200526503, -0.24810420690710466
1425398458916575974, 2.0097685952748483, -0.2930927533539951, -0.2488332526068311
1425398458936717035, 2.009780319547559, -0.2924026525131287, -0.24865716852636466
1425398458956836596, 2.0100545076841825, -0.29289910016219056, -0.24789967685032133
1425398458977364414, 2.00964939466064, -0.29250649717602006, -0.24621204611844782
1425398458997510984, 2.0095552769889893, -0.29257518456848475, -0.24858282505389495
1425398459017643809, 2.009722940090261, -0.2920779648938643, -0.25004716532416427
1425398459037772890, 2.009724490619628, -0.2915238932063018, -0.24868339371131643
1425398459047918605, 2.009813030869735, -0.2917592041924775, -0.2476745432571269
1425398459078113855, 2.0107409445324786, -0.29309622850937544, -0.24694389814095885
1425398459098245464, 2.0083046508779354, -0.29135083380528926, -0.24904859637625454
1425398459118428542, 2.009836750869402, -0.29078315940422295, -0.25043375349501296
1425398459138561088, 2.010092297123963, -0.2917320505218042, -0.24837128692858945
1425398459158704339, 2.0100253855911183, -0.29180120987039837, -0.2475619475759091
1425398459178850014, 2.0105449650900513, -0.29174863445953214, -0.24605722131041274
1425398459198991778, 2.0106666133338, -0.2920615077873556, -0.25042954348895596
1425398459209025985, 2.010549125292573, -0.29171362538625534, -0.2504885044459275
1425398459239197388, 2.01127942986976, -0.2910789021014768, -0.24798703706621605
1425398459259353151, 2.010589975474728, -0.2916598540935922, -0.2472421932342288
1425398459279507380, 2.011207664862835, -0.29232599136365045, -0.24610177069236105
1425398459302713031, 2.012883255962977, -0.2944342883837361, -0.24971184436239569
1425398459322843786, 2.0107670160752864, -0.2930141615143582, -0.2502470898062158
1425398459342985382, 2.0114520558080065, -0.29232502399092475, -0.24920567072812805
1425398459363119602, 2.0102211961721457, -0.2914687864940573, -0.24646894774471495
1425398459383227068, 2.0103007211419106, -0.2921268166787343, -0.24569085317798012
1425398459403391364, 2.0105995318805676, -0.29335830400885565, -0.24679199272717667
1425398459413514625, 2.011196836238265, -0.2936452271552321, -0.24928417345517984
1425398459453874868, 2.01112872245103, -0.29394021584459074, -0.24713107959661684
1425398459484098911, 2.011416008552931, -0.2937126087843407, -0.24607376124701574
1425398459494178471, 2.0115743067513647, -0.29352516449143806, -0.24714055570171112
1425398459514430325, 2.0116507015300784, -0.29338397489333046, -0.24914495173770967
1425398459534561891, 2.0117179214236547, -0.2943694305502087, -0.24887026440432236
1425398459564832917, 2.0114593625146293, -0.294053844563128, -0.246809461632849
1425398459585650165, 2.011281804119963, -0.2933583684617431, -0.2457753974837944
1425398459605777664, 2.0112493154017823, -0.2931383080186305, -0.24708190377736738
1425398459615818910, 2.011106420182828, -0.29355375253050453, -0.24438420616224732
1425398459656076638, 2.0149164256905303, -0.29501740327644876, -0.24793059820150465
1425398459697056024, 2.0159182804140365, -0.2947283376293972, -0.2511452343467261
1425398459737421280, 2.0166752268649586, -0.2965609591807685, -0.2519252191266159
1425398459768248373, 2.0166376702754416, -0.2968368372088994, -0.2496729908781412
1425398459808783645, 2.0162056546302587, -0.2961108451167518, -0.2536301586286822
1425398459829038389, 2.016205500060119, -0.2961105854841557, -0.25362021812038316
1425398459849215045, 2.015777498638175, -0.296876197608579, -0.2506062333518019
1425398459899572007, 2.015633879798929, -0.29533774965506043, -0.2538386171434628
1425398459939934522, 2.016723979730793, -0.29434894562719593, -0.25174869293382485
1425398459980322078, 2.0182234455323287, -0.2958213753551828, -0.25065991673437915
1425398460010519247, 2.0160334478066675, -0.29219893046660506, -0.25301402630230063
1425398460050834950, 2.0148703981127234, -0.29027224769359194, -0.250058869527226
1425398460091554205, 2.0138190204090565, -0.2879561361275269, -0.24717707188851978
1425398460141882015, 2.015446699763511, -0.28890036989029055, -0.25180112995152293
1425398460174674957, 2.013601108136175, -0.2853193120908508, -0.2471308391441589
1425398460215067986, 2.012006712359727, -0.28169168690219926, -0.24969255352469633
1425398460255340907, 2.0110501298888717, -0.28045041332673937, -0.2477883983350504
1425398460296936523, 2.0100419262849387, -0.27803638774819994, -0.24975073292000105
1425398460306993953, 2.009958380521001, -0.27783631676919507, -0.24671102617697538
1425398460337276091, 2.009159841681779, -0.27317913055983456, -0.24955944360342897
1425398460377622903, 2.0068394872579844, -0.2697843131582631, -0.24530808021824446
1425398460409948764, 1.9998279932792333, -0.26553895050057585, -0.24587275191569913
1425398460420011369, 1.9997286609689446, -0.26547883335112576, -0.24546543890043027
1425398460460266614, 1.9892012619610986, -0.2618576551465803, -0.225121728595701
1425398460490447547, 1.969606667842502, -0.249934871925807, -0.2008432685585695
1425398460540753735, 1.9449691321286398, -0.23970249866845683, -0.16695441003981148
1425398460581101252, 1.9139018654508901, -0.2239430007670704, -0.1318725359608498
1425398460611283216, 1.884061058320358, -0.20354986872708802, -0.11739612114733844
1425398460651777808, 1.857253560865392, -0.18155269307742938, -0.11275744664450604
1425398460692707199, 1.8313466494870925, -0.1574583786144763, -0.10991953793502318
1425398460743021548, 1.8089525132548139, -0.13520607286132735, -0.12061410646060255
1425398460773208690, 1.8000491299003931, -0.1124195593509385, -0.14195488160801717
1425398460824324516, 1.7849489816365813, -0.09023947711861058, -0.1408517980425854
1425398460854674186, 1.7887481112681645, -0.08106507300495092, -0.1534007979173534
1425398460895209947, 1.7857959744214602, -0.06555970817133527, -0.16593539542517866
1425398460905284722, 1.7855004473082015, -0.0640070457601929, -0.1637885133482173
1425398460935808185, 1.7832764798393057, -0.04984023217040923, -0.17783477147734905
1425398460977026920, 1.781455203442415, -0.04288902803727401, -0.19281114039369274
1425398461017299928, 1.7793482106224237, -0.03941182650551056, -0.19964635309384016
1425398461057681897, 1.778984274768206, -0.04271446718660843, -0.1930551777751467
1425398461097951771, 1.7810992052543844, -0.04858244958016056, -0.18213213754555835
1425398461138194099, 1.7866085406418548, -0.05962517314421012, -0.16159833080546715
1425398461178460116, 1.7930272630719604, -0.07128236666823118, -0.13134712333421106
1425398461208623930, 1.7977691106334936, -0.07397532176805321, -0.0992851030506221
1425398461258971095, 1.8120957045504886, -0.08149291117805246, -0.06319305446733825
1425398461299223550, 1.8288354163585832, -0.0883684644709326, -0.030489343821511472
