Time(ms), Target, Condition, Parameter, Boolean
1425398458506928294, wheel_LF, on_hub, hub_LF, True
1425398470587231600, wheel_LF, holding, hand_L, True
1425398474208033196, wheel_LF, loose_wheel, , True
1425398458518293167, wheel_LF, on_hub, hub_LF, True
